Journal title,Review process,APC,APC amount,Does the journal comply to DOAJ's definition of open access?,issn_linking
Ciência & Trópico,Peer review,No,NA,Yes,03042685
Estudios de Economía,Double anonymous peer review,No,NA,Yes,03042758
Revista Facultad Nacional de Agronomía Medellín,Double anonymous peer review,No,NA,Yes,03042847
Actualidades Biológicas,Anonymous peer review,No,NA,Yes,03043584
"Annals, Academy of Medicine, Singapore","Peer review, Anonymous peer review, Double anonymous peer review",Yes,500 SGD,Yes,03044602
Galicia Clínica,Anonymous peer review,No,NA,Yes,03044866
Chinese Journal of Physiology,Double anonymous peer review,Yes,3000 USD,Yes,03044920
Bangladesh Journal of Scientific and Industrial Research,Double anonymous peer review,No,NA,Yes,03049809
Nucleic Acids Research,Anonymous peer review,Yes,3802 USD,Yes,03051048
Leprosy Review,Anonymous peer review,No,NA,Yes,03057518
Cambridge Journal of Anthropology,Double anonymous peer review,No,NA,Yes,03057674
Australian Prescriber,Anonymous peer review,No,NA,Yes,03128008
Canadian Journal of Higher Education,Double anonymous peer review,No,NA,Yes,03161218
Dalhousie Law Journal,"Editorial review, Double anonymous peer review",No,NA,Yes,03171663
Cahiers des Études Anciennes,Anonymous peer review,No,NA,Yes,03175065
Іноземна філологія,Double anonymous peer review,Yes,700 UAH,Yes,03202372
Античная древность и средние века,Anonymous peer review,No,NA,Yes,03204472
Античный мир и археология,Anonymous peer review,No,NA,Yes,0320961X
Дифференциальная геометрия многообразий фигур,Double anonymous peer review,No,NA,Yes,03214796
Statistika: Statistics and Economy Journal,Double anonymous peer review,No,NA,Yes,0322788X
Vodohospodářské Technicko-Ekonomické Informace,Anonymous peer review,No,NA,Yes,03228916
Acta Universitatis Carolinae: Historia Universitatis Carolinae Pragensis,Anonymous peer review,No,NA,Yes,03230562
Acta Universitatis Carolinae. Iuridica,Double anonymous peer review,No,NA,Yes,03230619
Archeologické Rozhledy,Anonymous peer review,No,NA,Yes,03231267
Czech Journal of International Relations,Double anonymous peer review,No,NA,Yes,03231844
Acta Medica Bulgarica,Anonymous peer review,No,NA,Yes,03241750
Periodica Polytechnica: Chemical Engineering,Anonymous peer review,No,NA,Yes,03245853
Periodica Polytechnica Architecture,Double anonymous peer review,No,NA,Yes,0324590X
Periodica Polytechnica: Mechanical Engineering,Anonymous peer review,No,NA,Yes,03246051
Archives of Forensic Medicine and Criminology,Double anonymous peer review,No,NA,Yes,03248267
Polish Cartographical Review,Double anonymous peer review,No,NA,Yes,03248321
Roczniki Historyczne,Double anonymous peer review,No,NA,Yes,03248585
Archivos Argentinos de Pediatria,Double anonymous peer review,Yes,50000 ARS; 500 USD,Yes,03250075
Revista Latinoamericana de Filosofía,Double anonymous peer review,No,NA,Yes,03250725
Cuadernos de Historia de España,Double anonymous peer review,No,NA,Yes,03251195
Runa,Double anonymous peer review,No,NA,Yes,03251217
Meteorologica,Anonymous peer review,Yes,20000 ARS,Yes,0325187X
Relaciones de la Sociedad Argentina de Antropología,Peer review,No,NA,Yes,03252221
Patristica et Mediaevalia,Double anonymous peer review,No,NA,Yes,03252280
Revista Argentina de Dermatología,Double anonymous peer review,No,NA,Yes,03252787
Revista de Estudios Clásicos,Double anonymous peer review,No,NA,Yes,03253465
Revista de la Sociedad Argentina de Diabetes,Double anonymous peer review,No,NA,Yes,03255247
Scripta Ethnologica,Double anonymous peer review,No,NA,Yes,03256669
Revista Argentina de Microbiología,Double anonymous peer review,Yes,1200 USD,Yes,03257541
Res Gesta,Double anonymous peer review,No,NA,Yes,0325772X
Interdisciplinaria,Double anonymous peer review,No,NA,Yes,03258203
Folia Histórica del Nordeste,Peer review,No,NA,Yes,03258238
RIA: Revista Investigaciones Agropecuarias,Peer review,No,NA,Yes,03258718
Análisis Filosófico,Double anonymous peer review,No,NA,Yes,03261301
Boletín Geográfico,Double anonymous peer review,No,NA,Yes,03261735
Prudentia Iuris,Double anonymous peer review,No,NA,Yes,03262774
Ciencia del Suelo,Double anonymous peer review,Yes,60 USD,Yes,03263169
"Revista de Nefrología, Diálisis y Trasplante",Double anonymous peer review,No,NA,Yes,03263428
Cuadernos de Literatura,"Editorial review, Double anonymous peer review",No,NA,Yes,03265102
Revista de Enseñanza de la Física,Double anonymous peer review,No,NA,Yes,03267091
Nuestras Aves,Double anonymous peer review,No,NA,Yes,03267725
Cuadernos de Política Exterior Argentina,Double anonymous peer review,No,NA,Yes,03267806
Comechingonia,"Anonymous peer review, Double anonymous peer review",No,NA,Yes,03267911
Revista de Educación Matemática,Anonymous peer review,No,NA,Yes,03268780
Anuario IEHS,Double anonymous peer review,No,NA,Yes,03269671
Cuadernos de la Facultad de Humanidades y Ciencias Sociales: Universidad Nacional de Jujuy,Double anonymous peer review,No,NA,Yes,03271471
Anuario Digital (Escuela de Historia. Facultad de Humanidades y Artes. Universidad Nacional de Rosario),Double anonymous peer review,No,NA,Yes,0327215X
Dominguezia,Double anonymous peer review,No,NA,Yes,03272818
Horticultura Argentina,Double anonymous peer review,Yes,200 ARS,Yes,03273431
Anales (Asociación Física Argentina),Anonymous peer review,Yes,22500 ARS,Yes,0327358X
Cuadernos de Antropología Social,Double anonymous peer review,No,NA,Yes,03273776
Revista IRICE,Double anonymous peer review,No,NA,Yes,0327392X
Revista Argentina de Reumatología,Double anonymous peer review,No,NA,Yes,03274411
Estudios Sociales,Double anonymous peer review,No,NA,Yes,03274934
Revista Médica de Rosario,Double anonymous peer review,No,NA,Yes,03275019
Páginas de Filosofía,Double anonymous peer review,No,NA,Yes,03275108
Arqueologia,Anonymous peer review,No,NA,Yes,03275159
Ecología Austral,Anonymous peer review,No,NA,Yes,03275477
"Ciencia, Docencia y Tecnología",Double anonymous peer review,No,NA,Yes,03275566
Memoria Americana,Double anonymous peer review,No,NA,Yes,03275752
Actualidad Económica,Double anonymous peer review,No,NA,Yes,0327585X
Agriscientia,Anonymous peer review,Yes,15 USD,Yes,03276244
Revista Sociedad,Double anonymous peer review,No,NA,Yes,03277712
Revista del IICE,Double anonymous peer review,No,NA,Yes,03277763
Acta Toxicológica Argentina,Double anonymous peer review,No,NA,Yes,03279286
Delito y Sociedad: Revista de Ciencias Sociales,Anonymous peer review,No,NA,Yes,03280101
Estudios de Historia de España,Double anonymous peer review,No,NA,Yes,03280284
Revista Quebracho,Peer review,No,NA,Yes,03280543
Arquitecno,Double anonymous peer review,No,NA,Yes,03280896
Synthesis (La Plata),Peer review,No,NA,Yes,03281205
Area,Double anonymous peer review,No,NA,Yes,03281337
Revista Teología,Double anonymous peer review,No,NA,Yes,03281396
Estudios Digital,Double anonymous peer review,No,NA,Yes,0328185X
Población & Sociedad,Double anonymous peer review,No,NA,Yes,03283445
CELEHIS,Double anonymous peer review,No,NA,Yes,03285766
La Aljaba,Double anonymous peer review,No,NA,Yes,03286169
Revista Colección,Double anonymous peer review,No,NA,Yes,03287998
Clio y Asociados,Double anonymous peer review,No,NA,Yes,0328820X
Mora,Double anonymous peer review,No,NA,Yes,03288773
Inter Litteras,Double anonymous peer review,No,NA,Yes,03288935
Praxis Educativa,Double anonymous peer review,No,NA,Yes,03289702
"Anales del Instituto de Arte Americano e Investigaciones Estéticas ""Mario J. Buschiazzo""",Double anonymous peer review,No,NA,Yes,03289796
Hematología,Double anonymous peer review,No,NA,Yes,03290379
Huellas,Double anonymous peer review,No,NA,Yes,03290573
Quinto Sol,Double anonymous peer review,No,NA,Yes,03292665
Anclajes,Double anonymous peer review,No,NA,Yes,03293807
Revista de Educación en Biología,Double anonymous peer review,No,NA,Yes,03295192
Anuario de Investigaciones,Double anonymous peer review,No,NA,Yes,03295885
Historia Regional,Double anonymous peer review,No,NA,Yes,03298213
Revista de Ciencia y Tecnología,Double anonymous peer review,No,NA,Yes,03298922
Studium: Filosofía y Teología,Double anonymous peer review,No,NA,Yes,03298930
Nigerian Journal of Technology,Double anonymous peer review,Yes,185 USD,Yes,03318443
Teanga: The Journal of the Irish Association for Applied Linguistics,Double anonymous peer review,No,NA,Yes,0332205X
Studia Musicologica Norvegica,Double anonymous peer review,Yes,16000 NOK,Yes,03325024
Viking,Anonymous peer review,No,NA,Yes,0332608X
"Modeling, Identification and Control",Peer review,No,NA,Yes,03327353
Nordlyd: Tromsø University Working Papers on Language & Linguistics,Double anonymous peer review,No,NA,Yes,03327531
Rangifer,Peer review,No,NA,Yes,0333256X
Journal of Intelligent Systems,Double anonymous peer review,Yes,1200 EUR,Yes,03341860
High Temperature Materials and Processes,Double anonymous peer review,Yes,1000 EUR,Yes,03346455
Journal of the Mechanical Behavior of Materials,Anonymous peer review,Yes,500 EUR,Yes,03348938
Yod,Double anonymous peer review,No,NA,Yes,03389316
"Cancer Immunology, Immunotherapy",Anonymous peer review,Yes,3390 EUR; 4390 USD; 2790 GBP,Yes,03407004
Indiana,Double anonymous peer review,No,NA,Yes,03418642
Archäologisches Korrespondenzblatt,Peer review,No,NA,Yes,0342734X
Nota Lepidopterologica,Peer review,Yes,100 EUR,Yes,03427536
Deutsche Zeitschrift für Sportmedizin,Anonymous peer review,No,NA,Yes,03445925
Barnboken: Tidskrift för Barnlitteraturforskning,Double anonymous peer review,No,NA,Yes,0347772X
Nordisk Judaistik,Double anonymous peer review,No,NA,Yes,03481646
Starinar,Double anonymous peer review,No,NA,Yes,03500241
Industrija,Double anonymous peer review,No,NA,Yes,03500373
Geološki Anali Balkanskoga Poluostrva,Double anonymous peer review,No,NA,Yes,03500608
Glasnik Etnografskog Instituta SANU,Peer review,No,NA,Yes,03500861
Zograf,Double anonymous peer review,No,NA,Yes,03501361
Ekonomika,Double anonymous peer review,Yes,100 EUR,Yes,0350137X
Anali Gazi Husrev-Begove Biblioteke,Double anonymous peer review,No,NA,Yes,03501418
Revija za Sociologiju,Anonymous peer review,No,NA,Yes,0350154X
Južnoslovenski Filolog,Double anonymous peer review,No,NA,Yes,0350185X
Zbornik Pravnog Fakulteta u Zagrebu,Double anonymous peer review,No,NA,Yes,03502058
Истраживања,Double anonymous peer review,No,NA,Yes,03502112
Anali Ekonomskog fakulteta u Subotici,Double anonymous peer review,No,NA,Yes,03502120
Veterinarski Glasnik,Double anonymous peer review,No,NA,Yes,03502457
Građevinar,Double anonymous peer review,Yes,60 EUR,Yes,03502465
Radovi Instituta za Povijest Umjetnosti,Double anonymous peer review,No,NA,Yes,03503437
Književni Jezik,Double anonymous peer review,No,NA,Yes,03503496
Glasnik Srpskog Geografskog Društva,Anonymous peer review,No,NA,Yes,03503593
Fizička Kultura,Double anonymous peer review,No,NA,Yes,03503828
Latina et Graeca,Double anonymous peer review,No,NA,Yes,0350414X
Књижевна историја,Double anonymous peer review,No,NA,Yes,03506428
Slavistična Revija,Editorial review,No,NA,Yes,03506894
Vjesnik Arheološkog muzeja u Zagrebu,Double anonymous peer review,No,NA,Yes,03507165
Balcanica,Double anonymous peer review,No,NA,Yes,03507653
Science of Sintering,Anonymous peer review,No,NA,Yes,0350820X
Zbornik Radova Pravnog Fakulteta u Nišu,Double anonymous peer review,No,NA,Yes,03508501
"Zbornik Radova: Elektrotehnički Institut ""Nikola Tesla""",Anonymous peer review,No,NA,Yes,03508528
Zbornik Radova,Double anonymous peer review,No,NA,Yes,03508552
Praxis Medica,Double anonymous peer review,No,NA,Yes,03508773
Годишњак Правног факултета у Бањалуци,Double anonymous peer review,No,NA,Yes,03509052
Glasnik Zaštite Bilja,Double anonymous peer review,No,NA,Yes,03509664
Bakar,Anonymous peer review,No,NA,Yes,03510212
Geodetski Vestnik,Double anonymous peer review,No,NA,Yes,03510271
Strani Jezici,Double anonymous peer review,No,NA,Yes,03510840
Primerjalna Književnost,Peer review,No,NA,Yes,03511189
Etnološka Tribina,Double anonymous peer review,No,NA,Yes,03511944
Tekstilec,Peer review,No,NA,Yes,03513386
Filozofska Istraživanja,Double anonymous peer review,No,NA,Yes,03514706
Zaštita Materijala,Anonymous peer review,No,NA,Yes,03519465
Traditiones,Double anonymous peer review,No,NA,Yes,03520447
Inovacije u Nastavi,Double anonymous peer review,No,NA,Yes,03522334
Bogoslovska Smotra,Double anonymous peer review,No,NA,Yes,03523101
Istorija 20. Veka,Double anonymous peer review,No,NA,Yes,03523160
Ekonomika Poljoprivrede (1979),Double anonymous peer review,Yes,25000 RSD,Yes,03523462
Družboslovne Razprave,Peer review,No,NA,Yes,03523608
Geofizika,Peer review,No,NA,Yes,03523659
Pravo,Double anonymous peer review,Yes,25000 RSD,Yes,03523713
Crkva u Svijetu,Double anonymous peer review,No,NA,Yes,03524000
Zbornik Matice Srpske za Prirodne Nauke,Anonymous peer review,No,NA,Yes,03524906
Journal of the Serbian Chemical Society,Peer review,No,NA,Yes,03525139
Acta Stomatologica Naissi,Double anonymous peer review,No,NA,Yes,03525252
Pravni Vjesnik,Double anonymous peer review,No,NA,Yes,03525317
Гласник Српског археолошког друштва,Double anonymous peer review,No,NA,Yes,03525678
Zbornik Radova Građevinskog Fakulteta,Double anonymous peer review,No,NA,Yes,03526852
Psihološka Istraživanja,Double anonymous peer review,No,NA,Yes,03527379
Synthesis Philosophica,Double anonymous peer review,No,NA,Yes,03527875
Informacije MIDEM,Anonymous peer review,Yes,200 EUR,Yes,03529045
Chemical and Biochemical Engineering Quarterly,Anonymous peer review,No,NA,Yes,03529568
Etnoantropološki Problemi,Double anonymous peer review,No,NA,Yes,03531589
Radovi : Zavod za Hrvatsku Povijest,Double anonymous peer review,No,NA,Yes,0353295X
Ekonomski Vjesnik,Double anonymous peer review,No,NA,Yes,0353359X
Facta Universitatis. Series: Electronics and Energetics,Double anonymous peer review,No,NA,Yes,03533670
Belgrade Philosophical Annual,Double anonymous peer review,No,NA,Yes,03533891
Ekonomika Preduzeća,Double anonymous peer review,No,NA,Yes,0353443X
Rudarsko-geološko-naftni Zbornik,Anonymous peer review,No,NA,Yes,03534529
Glasnik Šumarskog Fakulteta: Univerzitet u Beogradu,Double anonymous peer review,No,NA,Yes,03534537
Fluminensia: Journal for Philological Research,Peer review,No,NA,Yes,03534642
Tržište,Double anonymous peer review,No,NA,Yes,03534790
Promet (Zagreb),Double anonymous peer review,Yes,1250 EUR,Yes,03535320
Uporedno pomorsko pravo,Double anonymous peer review,No,NA,Yes,03535487
Filozofija i Društvo,Double anonymous peer review,No,NA,Yes,03535738
Urbani Izziv,Double anonymous peer review,No,NA,Yes,03536483
Dve Domovini,Double anonymous peer review,No,NA,Yes,03536777
Baština,Double anonymous peer review,No,NA,Yes,03539008
Acta Clinica Croatica,Peer review,No,NA,Yes,03539466
Croatian Medical Journal,Peer review,No,NA,Yes,03539504
Verba Hispanica,Double anonymous peer review,No,NA,Yes,03539660
Yugoslav Journal of Operations Research,Anonymous peer review,No,NA,Yes,03540243
Jezikoslovni zapiski,Double anonymous peer review,No,NA,Yes,03540448
Dela,Double anonymous peer review,No,NA,Yes,03540596
Facta Universitatis. Series: Mechanical Engineering,Double anonymous peer review,No,NA,Yes,03542025
Podzemni Radovi,Double anonymous peer review,No,NA,Yes,03542904
Turističko Poslovanje,Double anonymous peer review,No,NA,Yes,03543099
Zbornik Radova Filozofskog Fakulteta u Prištini,Double anonymous peer review,No,NA,Yes,03543293
Marketing (Beograd. 1991),Double anonymous peer review,No,NA,Yes,03543471
Facta Universitatis. Series: Architecture and Civil Engineering,Double anonymous peer review,No,NA,Yes,03544605
Archives of Biological Sciences,Anonymous peer review,No,NA,Yes,03544664
Facta Universitatis. Series: Economics and Organization,Double anonymous peer review,No,NA,Yes,03544699
Facta Universitatis Series: Linguistics and Literature,Double anonymous peer review,No,NA,Yes,03544702
Selekcija i Semenarstvo,Double anonymous peer review,No,NA,Yes,03545881
Srpska Politička Misao,Double anonymous peer review,No,NA,Yes,03545989
Arhitektura i Urbanizam,Double anonymous peer review,No,NA,Yes,03546055
Токови историје,Double anonymous peer review,No,NA,Yes,03546497
Opšta Medicina,Double anonymous peer review,Yes,40 EUR,Yes,03547132
Archive of Oncology,Double anonymous peer review,Yes,50 EUR,Yes,03547310
Sestrinska reč,Double anonymous peer review,Yes,2000 RSD; 20 EUR,Yes,03548422
"Energija, Ekonomija, Ekologija",Anonymous peer review,No,NA,Yes,03548651
Geographica Pannonica,Double anonymous peer review,No,NA,Yes,03548724
"NBP: Nauka, bezbednost, policija",Double anonymous peer review,No,NA,Yes,03548872
Tribology in Industry,Double anonymous peer review,No,NA,Yes,03548996
